"10","Japan","Tokyo Institute of Technology","null","https://www.topuniversities.com/sites/default/files/styles/logo_90x90/public/tokyo-institute-of-technology_613_medium_1.jpg","null","null","/node/297248","https://www.titech.ac.jp/english/?utm_source=the&utm_medium=ad&utm_campaign=the_profile","Public","Very High","9,832","1,563""1,071""1"
"19","Japan","Waseda University","null","https://www.topuniversities.com/sites/default/files/styles/logo_90x90/public/waseda-university_592560cf2aeae70239af4d1c_medium.jpg","null","null","/node/297196","http://www.waseda.jp/inst/whywaseda/?utm_source=QS%20Waseda%20banners&utm_medium=QS%20Waseda%20profile&utm_campaign=QS%20Waseda%20profile","Private","Very High","46,301","3,850""6,230""1"
"160","Hong Kong","Lingnan University, Hong Kong","null","https://www.topuniversities.com/sites/default/files/styles/logo_90x90/public/lingnan-university-hong-kong_894_medium_0.jpg","null","null","/node/296993","http://www.ln.edu.hk/","Public","High","2,883","232""440""1"
"196","Hong Kong","The Hong Kong University of Science and Technology","null","https://www.topuniversities.com/sites/default/files/styles/logo_90x90/public/the-hong-kong-university-of-science-and-technology_269_medium_1.jpg","null","null","/node/294255","http://www.ust.hk","Public","Very High","10,375","1,150""2,921""1"
"187","Hong Kong","The Hong Kong Polytechnic University","null","https://www.topuniversities.com/sites/default/files/styles/logo_90x90/public/the-hong-kong-polytechnic-university_267_medium_1.jpg","null","null","/node/294257","https://www.polyu.edu.hk/web/en/home/index.html","Public","Very High","20,972","2,447""5,251""1"
"205","Hong Kong","The Education University of Hong Kong","null","https://www.topuniversities.com/sites/default/files/styles/logo_90x90/public/the-education-university-of-hong-kong_592560cf2aeae70239af5734_medium.jpg","null","null","/node/293855","http://www.eduhk.hk","null","null","null","null""null""1"
"178","Hong Kong","The Chinese University of Hong Kong (CUHK)","null","https://www.topuniversities.com/sites/default/files/styles/logo_90x90/public/the-chinese-university-of-hong-kong-cuhk_123_medium_1.jpg","null","null","/node/294277","http://www.cuhk.edu.hk","Public","Very High","18,037","2,208""4,824""1"
"223","Hong Kong","School of Hotel and Tourism Management, The Hong Kong Polytechnic University","null","https://www.topuniversities.com/sites/default/files/styles/logo_90x90/public/school-of-hotel-and-tourism-management-the-hong-kong-polytechnic-university_28934_medium_0.jpg","null","null","/node/307031","https://www.polyu.edu.hk/htm","null","null","null","null""null""1"
"214","Hong Kong","The Chinese University of Hong Kong - Faculty of Law","null","https://www.topuniversities.com/sites/default/files/styles/logo_90x90/public/the-chinese-university-of-hong-kong-faculty-of-law_28941_medium.jpg","null","null","/node/307714","http://www.law.cuhk.edu.hk/en/","null","null","null","null""null""1"
"169","Hong Kong","The University of Hong Kong","null","https://www.topuniversities.com/sites/default/files/styles/logo_90x90/public/the-university-of-hong-kong_268_medium.jpg","null","null","/node/294256","http://www.hku.hk","Public","Very High","20,214","3,012""8,230""1"
"232","Hong Kong","Faculty of Business, The Hong Kong Polytechnic University","null","https://www.topuniversities.com/sites/default/files/styles/logo_90x90/public/the-hong-kong-polytechnic-university-faculty-of-business_20644_medium_1.jpg","null","null","/node/296033","http://www.fb.polyu.edu.hk/default.aspx","null","null","null","null""null""1"
"286","Costa Rica","ULACIT - Universidad Latinoamericana de Ciencia y Tecnología, Costa Rica","null","https://www.topuniversities.com/sites/default/files/styles/logo_90x90/public/-ulacit-universidad-latinoamericana-de-ciencia-y-tecnologa-costa-rica_592560cf2aeae70239af4dbb_medium_0.jpg","null","null","/node/297550","http://www.ulacit.ac.cr","Private","Low","2,250","153""158""1"
"435","Russia","Tomsk State Pedagogical University","null","https://www.topuniversities.com/sites/default/files/styles/logo_90x90/public/tomsk-state-pedagogical-university_592560cf2aeae70239af5a7a_medium_0.jpg","null","null","/node/295425","http:// https://www.tspu.edu.ru/en/","null","null","null","null""null""1"
"453","Russia","National Research University Moscow Power Engineering Institute (MPEI)","null","https://www.topuniversities.com/sites/default/files/styles/logo_90x90/public/national-research-university-moscow-power-engineering-institute-mpei_19739_medium_1.jpg","null","null","/node/296061","http://www.mpei.ru","Public","High","13,933","814""845""1"
"471","Russia","Samara National Research University (Samara University)","null","https://www.topuniversities.com/sites/default/files/styles/logo_90x90/public/samara-national-research-university-samara-university_21813_medium_1.jpg","null","null","/node/295946","http://www.ssau.ru","Public","Very High","10,284","1,044""560""1"
"390","Russia","National Research Tomsk Polytechnic University","null","https://www.topuniversities.com/sites/default/files/styles/logo_90x90/public/national-research-tomsk-polytechnic-university_14158_medium_3.jpg","null","null","/node/293643","https://tpu.ru/en","Public","Very High","9,662","1,626""2,473""1"
"354","Russia","Ural Federal University","null","https://www.topuniversities.com/sites/default/files/styles/logo_90x90/public/ural-federal-university-_592560cf2aeae70239af505a_medium_0.jpg","null","null","/node/296475","http://www.urfu.ru","Public","High","26,345","4,203""2,464""1"
"372","Russia","RUDN University","null","https://www.topuniversities.com/sites/default/files/styles/logo_90x90/public/rudn-university_1503_medium_2.jpg","null","null","/node/296468","http://eng.rudn.ru/","Public","Medium","21,526","2,639""5,628""1"
"345","Russia","Russian State Social University","null","https://www.topuniversities.com/sites/default/files/styles/logo_90x90/public/russian-state-social-university_592560e79988f300e2321fdd_medium.jpg","null","null","/node/309669","http://www.rgsu.net","Public","Medium","13,941","933""2,043""1"
"399","Russia","Moscow State Institute of International Relations (MGIMO University)","null","https://www.topuniversities.com/sites/default/files/styles/logo_90x90/public/moscow-state-institute-of-international-relations-mgimo-university_2156_medium.jpg","null","null","/node/295119","http://english.mgimo.ru","Public","Low","7,552","1,549""1,297""1"
"444","Russia","National Research Nuclear University MEPhI (Moscow Engineering Physics Institute)","null","https://www.topuniversities.com/sites/default/files/styles/logo_90x90/public/national-research-nuclear-university-mephi-moscow-engineering-physics-institute_15207_medium_1.png","null","null","/node/294393","https://eng.mephi.ru/","Public","Very High","6,804","1,159""1,399""1"
"363","Russia","Peter the Great Saint-Petersburg Polytechnic University","null","https://www.topuniversities.com/sites/default/files/styles/logo_90x90/public/peter-the-great-saint-petersburg-polytechnic-university_2153_medium_3.jpg","null","null","/node/295116","http://english.spbstu.ru/education/programs/programs-in-english/","Public","Very High","17,571","2,978""3,282""1"
"426","Russia","Novosibirsk State University","null","https://www.topuniversities.com/sites/default/files/styles/logo_90x90/public/novosibirsk-state-university_462_medium_0.jpg","null","null","/node/294749","https://english.nsu.ru/","Public","Very High","7,204","1,038""1,342""1"
"381","Russia","Samara Polytech","null","https://www.topuniversities.com/sites/default/files/styles/logo_90x90/public/samara-state-technical-university_592560cf2aeae70239af59d6_medium_0.jpg","null","null","/node/295768","http://samgtu.ru/","null","null","7,299","958""361""1"
"660","Sweden","Lund University","null","https://www.topuniversities.com/sites/default/files/styles/logo_90x90/public/lund-university_371_medium_3.jpg","null","null","/node/293996","http://www.lunduniversity.lu.se","Public","Very High","27,786","3,031""6,408""1"
"687","Sweden","Karolinska Institutet","null","https://www.topuniversities.com/sites/default/files/styles/logo_90x90/public/karolinska-institutet_311_medium_2.jpg","null","null","/node/294162","http://ki.se/en/startpage","Public","Very High","7,786","1,771""1,420""1"
"678","Sweden","Stockholm School of Economics","null","https://www.topuniversities.com/sites/default/files/styles/logo_90x90/public/stockholm-school-of-economics_576_medium_0.jpg","null","null","/node/297279","http://www.hhs.se","Private","Very High","2,216","113""301""1"
"780","Switzerland","Ecole hôtelière de Lausanne","null","https://www.topuniversities.com/sites/default/files/styles/logo_90x90/public/ecole-htelire-de-lausanne_174_medium_2.jpg","null","null","/node/294484","http://www.ehl.edu","null","null","null","null""null""1"
"781","Switzerland","SBS Swiss Business School","null","https://www.topuniversities.com/sites/default/files/styles/logo_90x90/public/sbs-swiss-business-school-zurich_1619_medium_1.jpg","null","null","/node/297593","http://www.sbs.edu","null","null","null","null""null""1"
"793","Switzerland","Geneva Business School","null","https://www.topuniversities.com/sites/default/files/styles/logo_90x90/public/geneva-business-school_14355_medium_0.jpg","null","null","/node/293801","http://www.gbsge.com","null","null","null","null""null""1"
"784","Switzerland","University of St.Gallen (HSG)","null","https://www.topuniversities.com/sites/default/files/styles/logo_90x90/public/university-of-st.gallen-hsg_571_medium_3.jpg","null","null","/node/297284","https://www.unisg.ch","Public","Very High","8,232","446""2,749""1"
"783","Switzerland","Sustainability Management School","null","https://www.topuniversities.com/sites/default/files/styles/logo_90x90/public/sustainability-management-school_24512_medium_4.jpg","null","null","/node/295668","http://www.sumas.ch/","null","null","null","null""null""1"
"782","Switzerland","International University in Geneva","null","https://www.topuniversities.com/sites/default/files/styles/logo_90x90/public/international-university-in-geneva_14258_medium_1.jpg","null","null","/node/293716","http://www.iun.ch/iun/en/EN-EN/index.cfm","null","null","null","null""null""1"
"918","Australia","Bond University","null","https://www.topuniversities.com/sites/default/files/styles/logo_90x90/public/bond-university_715_medium_2.jpg","null","null","/node/297113","http://www.bond.edu.au/future-students/international","Private","High","3,096","358""991""1"
"972","Australia","The University of Western Australia","null","https://www.topuniversities.com/sites/default/files/styles/logo_90x90/public/the-university-of-western-australia_673_medium_0.jpg","null","null","/node/297188","http://www.uwa.edu.au","Public","Very High","18,531","1,420""4,575""1"
"1017","Australia","Edith Cowan University","null","https://www.topuniversities.com/sites/default/files/styles/logo_90x90/public/edith-cowan-university_841_medium_1.jpg","null","null","/node/296821","http://www.ecu.edu.au","Public","High","17,073","685""3,440""1"
"936","Australia","Curtin University - Faculty of Humanities","null","https://www.topuniversities.com/sites/default/files/styles/logo_90x90/public/curtin-university-faculty-of-humanities_24987_medium_0.jpg","null","null","/node/295632","http://humanities.curtin.edu.au","null","null","null","null""null""1"
"990","Australia","University of South Australia","null","https://www.topuniversities.com/sites/default/files/styles/logo_90x90/public/university-of-south-australia_566_medium_2.jpg","null","null","/node/297289","http://www.unisa.edu.au","Public","Very High","17,388","1,435""3,634""1"
"1026","Australia","Macquarie University","null","https://www.topuniversities.com/sites/default/files/styles/logo_90x90/public/macquarie-university_378_medium_3.jpg","null","null","/node/293982","http://www.mq.edu.au","Public","Very High","22,765","1,517""5,550""1"
"981","Australia","University of Technology Sydney","null","https://www.topuniversities.com/sites/default/files/styles/logo_90x90/public/university-of-technology-sydney_592560cf2aeae70239af4ccf_medium_1.jpg","null","null","/node/297273","http://www.uts.edu.au","Public","Very High","24,207","1,328""7,769""1"
"927","Australia","University of Tasmania","null","https://www.topuniversities.com/sites/default/files/styles/logo_90x90/public/university-of-tasmania_593_medium_1.jpg","null","null","/node/297268","http://www.utas.edu.au/?utm_source=QS&utm_medium=referral&utm_campaign=TopUniversities","Public","Very High","9,024","796""2,834""1"
"1062","Australia","University of Wollongong","null","https://www.topuniversities.com/sites/default/files/styles/logo_90x90/public/university-of-wollongong_680_medium_1.jpg","null","null","/node/297181","https://www.uow.edu.au","Public","High","18,476","1,301""4,730""1"
"1053","Australia","The University of New South Wales (UNSW Sydney)","null","https://www.topuniversities.com/sites/default/files/styles/logo_90x90/public/the-university-of-new-south-wales-unsw-sydney_447_medium_0.jpg","null","null","/node/294788","https://ad.doubleclick.net/ddm/clk/303568713;130648127;d","Public","Very High","39,784","2,924""14,292""1"
"954","Australia","RMIT University","null","https://www.topuniversities.com/sites/default/files/styles/logo_90x90/public/rmit-university_592560cf2aeae70239af4c95_medium.jpg","null","null","/node/297499","https://www.rmit.edu.au/study-with-us/international-students?utm_medium=web&utm_source=QS&utm_campaign=INT_Sub&utm_content=Profile_page","Public","Very High","32,667","1,915""8,674""1"
"999","Australia","Queensland University of Technology (QUT)","null","https://www.topuniversities.com/sites/default/files/styles/logo_90x90/public/queensland-university-of-technology-qut_516_medium_0.jpg","null","null","/node/297459","https://www.qut.edu.au/","Public","Very High","33,929","1,755""5,267""1"
"1035","Australia","The University of Queensland","null","https://www.topuniversities.com/sites/default/files/styles/logo_90x90/public/the-university-of-queensland_515_medium_2.jpg","null","null","/node/297460","http://future-students.uq.edu.au","Public","Very High","37,497","3,158""10,420""1"
"1044","Australia","Curtin University","null","https://www.topuniversities.com/sites/default/files/styles/logo_90x90/public/curtin-university_150_medium_1.jpg","null","null","/node/294507","http://www.curtin.edu.au","Public","Very High","25,604","1,917""5,284""1"
"1138","Indonesia","Bina Nusantara University (BINUS)","null","https://www.topuniversities.com/sites/default/files/styles/logo_90x90/public/bina-nusantara-university-binus_937_medium_2.jpg","null","null","/node/296983","http://www.binus.ac.id","Private","Low","16,727","1,117""161""1"
"1472","Spain","ESCP Europe Business School","null","https://www.topuniversities.com/sites/default/files/styles/logo_90x90/public/escp-europe-madrid-campus_592560cf2aeae70239af51e7_medium_0.jpg","null","null","/node/293116","http://www.escpeurope.eu/campus/escp-europe-campus-madrid/escp-europe-madrid-campus/","null","null","null","null""null""1"
"1427","Spain","EU Business School","null","https://www.topuniversities.com/sites/default/files/styles/logo_90x90/public/european-university-barcelona-geneva-montreux-munich_1909_medium_0.jpg","null","null","/node/294834","https://www.euruni.edu/?utm_source=QSTopUniversities&utm_medium=profile&utm_campaign=general&utm_content=","null","null","null","null""null""1"
"1418","Spain","Universidad Carlos III de Madrid (UC3M)","null","https://www.topuniversities.com/sites/default/files/styles/logo_90x90/public/universidad-carlos-iii-de-madrid-uc3m_1509_medium_2.jpg","null","null","/node/296463","http://www.uc3m.es/Home","Public","Very High","17,618","2,204""488""1"
"1481","Spain","IE School of International Relations","null","https://www.topuniversities.com/sites/default/files/styles/logo_90x90/public/international-relations_5989e1c7acb295502258d477_medium.jpg","null","null","/node/371340","https://track.adform.net/C/?bn=19096332","null","null","null","null""null""1"
"1517","Spain","Universitat de Barcelona","null","https://www.topuniversities.com/sites/default/files/styles/logo_90x90/public/university-of-barcelona_592560cf2aeae70239af4aaf_medium_1.jpg","null","null","/node/294613","http://www.ub.edu/web/ub/en/?utm_source=qsranking&utm_medium=perfil&utm_campaign=ub_internacional&utm_content=boto_ub_overview","Public","Very High","46,002","3,863""6,134""1"
"1454","Spain","Universitat Autònoma de Barcelona","null","https://www.topuniversities.com/sites/default/files/styles/logo_90x90/public/universitat-autnoma-de-barcelona_592560cf2aeae70239af4ab0_medium.jpg","null","null","/node/294612","http://www.uab.cat/en/","Public","Very High","31,986","2,187""3,848""1"
"1490","Spain","IE University","null","https://www.topuniversities.com/sites/default/files/styles/logo_90x90/public/ie-university_293_medium_0.jpg","null","null","/node/294227","http://www.ie.edu/","null","null","null","null""null""1"
"1690","Portugal","Católica Lisbon School of Business and Economics","null","https://www.topuniversities.com/sites/default/files/styles/logo_90x90/public/catlica-lisbon-school-of-business-and-economics_21816_medium_0.jpg","null","null","/node/295982","https://www.clsbe.lisboa.ucp.pt/","null","null","null","null""null""1"
"1691","Portugal","Universidade Nova de Lisboa","null","https://www.topuniversities.com/sites/default/files/styles/logo_90x90/public/universidade-nova-de-lisboa_460_medium_2.jpg","null","null","/node/294754","http://www.unl.pt","Public","High","19,490","1,746""2,076""1"
"1875","Colombia","Universidad de los Andes","null","https://www.topuniversities.com/sites/default/files/styles/logo_90x90/public/universidad-de-los-andes_592560cf2aeae70239af4bf6_medium_0.jpg","null","null","/node/294011","https://uniandes.edu.co","Private","Medium","16,665","1,089""293""1"
"1849","Cyprus","University of Nicosia","null","https://www.topuniversities.com/sites/default/files/styles/logo_90x90/public/university-of-nicosia_592560cf2aeae70239af597b_medium.jpg","null","null","/node/295969","https://www.unic.ac.cy","null","null","null","null""null""1"
"1850","Cyprus","European University Cyprus (EUC)","null","https://www.topuniversities.com/sites/default/files/styles/logo_90x90/public/european-university-cypruseuc_592560e49988f300e23217f5_medium.jpg","null","null","/node/303235","http://www.euc.ac.cy","null","null","null","null""null""1"
"1857","Colombia","Universidad del Rosario","null","https://www.topuniversities.com/sites/default/files/styles/logo_90x90/public/universidad-del-rosario_592560cf2aeae70239af514d_medium_0.jpg","null","null","/node/296857","http://www.urosario.edu.co","Private","High","9,038","588""165""1"
"1969","Italy","Università Cattolica del Sacro Cuore","null","https://www.topuniversities.com/sites/default/files/styles/logo_90x90/public/universitcattolica-del-sacro-cuore_406_medium.jpg","null","null","/node/294854","http://www.ucscinternational.it","Private","Very High","30,263","1,600""2,360""1"
"2005","Italy","ESCP EUROPE - Torino","null","https://www.topuniversities.com/sites/default/files/styles/logo_90x90/public/escp-europe-torino_1890_medium.jpg","null","null","/node/294805","http://www.escpeurope.eu","null","null","null","null""null""1"
"1987","Italy","Bocconi University","null","https://www.topuniversities.com/sites/default/files/styles/logo_90x90/public/bocconi-university_592560cf2aeae70239af4abf_medium_0.jpg","null","null","/node/294596","http://www.unibocconi.eu/graduateguidance","Private","Very High","13,377","802""1,597""1"
"2023","Italy","Università degli Studi di Pavia","null","https://www.topuniversities.com/sites/default/files/styles/logo_90x90/public/universit-degli-studi-di-pavia_493_medium_1.jpg","null","null","/node/297512","http://www.unipv.eu/site/en/home.html","Public","High","23,927","1,141""1,652""1"
"2032","Italy","IULM - International University of Languages and Media","null","https://www.topuniversities.com/sites/default/files/styles/logo_90x90/public/iulm-international-university-of-languages-and-media_592560cf2aeae70239af5008_medium_0.jpg","null","null","/node/296550","http://www.iulm.com","null","null","null","null""null""1"
"2014","Italy","Politecnico di Torino","null","https://www.topuniversities.com/sites/default/files/styles/logo_90x90/public/politecnico-di-torino_633_medium.jpg","null","null","/node/297228","http://www.polito.it/index.php?lang=en","Public","Very High","31,166","840""4,485""1"
"1951","Italy","University of Modena and Reggio Emilia","null","https://www.topuniversities.com/sites/default/files/styles/logo_90x90/public/university-of-modena-and-reggio-emilia_411_medium_0.jpg","null","null","/node/294849","http://www.international.unimore.it/","Public","High","23,336","723""1,367""1"
